A1,A2,A3,A4,A5,ranking
-1.480106,1.113574,0.978084,-0.285879,0.236824,a>d>b>e>c
-1.496091,0.992719,0.886522,-0.241291,0.236824,a>d>b>e>c
-1.51059,1.003706,0.703396,-0.397349,0.210599,a>d>b>e>c
-1.50046,0.970746,0.749177,-0.375055,0.131925,a>d>b>e>c
-1.516445,0.981733,0.703396,-0.308173,0.140666,a>d>b>e>c
-1.506222,1.003706,0.657614,-0.285879,0.228083,a>d>b>e>c
-1.526575,0.937785,0.611833,-0.352761,0.201858,a>d>b>e>c
-1.526575,0.849891,0.52027,-0.486525,0.193116,a>d>b>e>c
-1.469976,0.915812,0.611833,-0.508819,0.149408,a>d>b>e>c
-1.45399,0.970746,0.703396,-0.419643,0.15815,a>d>b>e>c
-1.439399,0.904825,0.611833,-0.508819,0.114442,a>d>b>e>c
-1.480106,0.805944,0.382926,-0.531113,0.079475,a>d>b>e>c
-1.50046,0.838904,0.337144,-0.642583,0.061992,a>d>b>c>e
-1.439399,0.926799,0.428707,-0.620289,0.044509,a>d>b>e>c
-1.387167,0.871865,0.337144,-0.664876,-0.042908,a>d>b>e>c
-1.299991,0.849891,0.428707,-0.531113,-0.016683,a>d>b>e>c
-1.310214,0.849891,0.428707,-0.620289,-0.025424,a>d>b>c>e
-1.314582,0.794957,0.566051,-0.820934,-0.051649,a>d>b>c>e
-1.299991,0.794957,0.428707,-0.954698,-0.095357,a>d>b>c>e
-1.253521,0.893838,0.428707,-0.776346,-0.095357,a>d>b>c>e
-1.247759,0.816931,0.474489,-0.419643,-0.077874,a>d>b>c>e
-1.253521,0.783971,0.474489,-0.531113,-0.086616,a>d>b>c>e
-1.247759,0.772984,0.382926,-0.620289,-0.034166,a>d>b>e>c
-1.231773,0.827918,0.703396,-0.664876,0.000801,a>d>b>c>e
-1.284098,0.772984,0.749177,-0.731758,0.009542,a>d>b>e>c
-1.257889,0.882852,0.749177,-0.441937,0.044509,a>d>b>e>c
-1.237629,0.926799,0.657614,-0.441937,0.027025,a>d>b>e>c
-1.217275,0.926799,0.703396,-0.308173,0.070733,a>d>b>c>e
-1.221643,0.904825,0.886522,-0.263585,0.096958,a>d>b>c>e
-1.195434,0.970746,0.886522,-0.107527,0.166891,a>d>b>c>e
-1.180936,0.992719,0.932303,-0.062939,0.184375,a>d>b>c>e
-1.284098,0.970746,0.749177,-0.062939,0.131925,a>d>b>c>e
-1.257889,0.992719,0.886522,-0.040645,0.131925,d>a>b>c>e
-1.268113,0.882852,1.023866,-0.196703,0.1057,a>d>b>c>e
-1.207052,0.926799,1.344336,-0.196703,0.140666,d>a>c>b>e
-1.134466,0.948772,1.573243,-0.040645,0.219341,d>a>c>b>e
-1.138835,0.849891,1.619025,-0.152115,0.219341,d>a>c>b>e
-1.138835,0.805944,1.48168,-0.196703,0.228083,d>a>c>b>e
-1.138835,0.849891,1.344336,-0.375055,0.184375,d>a>b>c>e
-1.138835,0.849891,1.390117,-0.285879,0.210599,d>a>b>c>e
-1.124336,0.772984,1.069647,-0.241291,0.219341,a>d>b>c>e
-1.09822,0.794957,1.115429,-0.107527,0.228083,d>a>b>c>e
-1.087997,0.794957,1.435899,-0.285879,0.236824,a>d>c>b>e
-1.082235,0.772984,1.573243,-0.330467,0.280532,a>d>c>b>e
-1.092365,0.772984,1.298555,-0.397349,0.245566,a>d>c>b>e
-1.087997,0.772984,1.390117,-0.263585,0.263049,a>d>b>c>e
-1.09822,0.794957,1.390117,-0.263585,0.245566,a>d>c>b>e
-1.087997,0.816931,1.48168,-0.218997,0.236824,a>d>c>b>e
-1.102496,0.761997,1.344336,-0.375055,0.219341,a>d>b>c>e
-1.067643,0.794957,1.390117,-0.263585,0.254307,a>d>c>b>e
-1.082235,0.827918,1.435899,-0.308173,0.289274,a>d>b>c>e
-1.082235,0.860878,1.390117,-0.330467,0.315499,a>d>c>b>e
-1.128704,0.816931,1.298555,-0.397349,0.289274,a>d>b>c>e
-1.138835,0.816931,1.252773,-0.486525,0.271791,a>d>c>b>e
-1.124336,0.871865,1.252773,-0.375055,0.298016,a>d>b>c>e
-1.14469,0.860878,1.115429,-0.464231,0.263049,a>d>b>c>e
-1.148965,0.827918,0.932303,-0.731758,0.201858,a>d>b>c>e
-1.118481,0.794957,1.023866,-0.709464,0.236824,a>d>b>c>e
-1.087997,0.794957,0.84074,-0.68717,0.228083,a>d>b>c>e
-1.124336,0.71805,0.84074,-0.820934,0.236824,a>d>b>c>e
-1.061881,0.729037,0.886522,-0.731758,0.280532,a>d>b>c>e
-1.025542,0.783971,1.252773,-0.731758,0.367949,a>d>c>b>e
-0.948589,0.794957,1.115429,-0.776346,0.341724,a>d>b>c>e
-0.942827,0.805944,1.115429,-0.754052,0.315499,a>d>b>c>e
-0.942827,0.783971,0.932303,-0.776346,0.332982,a>d>b>c>e
-0.942827,0.75101,0.978084,-0.709464,0.298016,a>d>b>c>e
-0.952957,0.75101,1.023866,-0.642583,0.289274,a>d>b>c>e
-1.025542,0.685089,1.023866,-0.79864,0.280532,a>d>b>c>e
-1.005281,0.630156,0.932303,-1.066168,0.210599,a>d>b>c>e
-1.061881,0.608182,0.657614,-1.13305,0.15815,a>d>b>c>e
-1.061881,0.619169,0.749177,-1.088462,0.15815,a>d>b>c>e
-1.067643,0.575222,0.749177,-0.887816,0.149408,a>d>b>c>e
-1.102496,0.520288,0.749177,-0.954698,0.123183,a>d>b>c>e
-1.108351,0.487327,1.023866,-1.13305,0.149408,a>d>b>c>e
-1.082235,0.553248,1.115429,-1.13305,0.131925,a>d>b>c>e
-1.102496,0.520288,1.16121,-1.155344,0.219341,a>d>b>c>e
-1.114113,0.509301,1.115429,-1.110756,0.254307,a>d>b>c>e
-1.148965,0.476341,0.932303,-1.13305,0.210599,a>d>b>c>e
-1.185304,0.454367,0.886522,-1.177638,0.149408,a>d>b>c>e
-1.09822,0.498314,1.023866,-1.110756,0.096958,a>d>b>c>e
-1.102496,0.498314,0.932303,-1.088462,0.149408,a>d>b>c>e
-1.087997,0.509301,0.886522,-1.066168,0.123183,a>d>b>c>e
-1.061881,0.509301,0.978084,-1.02158,0.114442,a>d>b>c>e
-1.067643,0.465354,1.390117,-1.043874,0.140666,a>d>b>c>e
-1.087997,0.487327,1.298555,-1.13305,0.079475,a>d>b>c>e
-1.114113,0.509301,1.16121,-1.110756,0.009542,a>d>b>c>e
-1.067643,0.685089,1.252773,-0.954698,0.140666,a>d>b>c>e
-1.067643,0.652129,1.252773,-0.932404,0.219341,a>d>b>c>e
-1.056026,0.663116,1.252773,-0.843228,0.219341,a>d>b>c>e
-1.045896,0.663116,1.252773,-0.843228,0.245566,a>d>b>c>e
-1.031397,0.663116,1.206992,-0.91011,0.201858,a>d>b>c>e
-1.015412,0.641142,1.206992,-0.887816,0.210599,a>b>d>c>e
-0.952957,0.652129,1.252773,-0.843228,0.228083,a>b>d>c>e
-0.942827,0.652129,1.252773,-0.776346,0.280532,a>d>b>c>e
-0.963087,0.619169,1.206992,-0.843228,0.263049,a>d>b>c>e
-0.984928,0.641142,1.16121,-0.843228,0.306757,a>d>b>c>e
-0.989296,0.597195,1.16121,-0.843228,0.263049,a>b>d>c>e
-1.005281,0.586208,1.16121,-0.887816,0.271791,a>b>d>c>e
-1.009557,0.597195,1.115429,-0.843228,0.289274,a>b>d>c>e
-1.035765,0.597195,1.069647,-0.865522,0.350465,a>d>b>c>e
-0.989296,0.564235,0.84074,-0.79864,0.385432,a>d>b>c>e
-0.963087,0.542261,0.932303,-0.776346,0.420398,a>d>b>c>e
-0.974705,0.553248,1.115429,-0.68717,0.42914,a>d>b>c>e
-0.952957,0.553248,1.023866,-0.620289,0.48159,a>d>b>c>e
-0.896357,0.531275,1.069647,-0.575701,0.569006,a>d>b>c>e
-0.876004,0.575222,1.069647,-0.441937,0.612714,a>b>d>c>e
-0.906487,0.586208,1.023866,-0.508819,0.64768,a>d>b>c>e
-0.891989,0.575222,1.115429,-0.664876,0.735096,a>d>b>c>e
-0.870148,0.586208,1.298555,-0.597995,0.778805,a>d>b>c>e
-0.876004,0.564235,1.48168,-0.575701,0.796288,a>d>b>c>e
-0.809181,0.597195,1.527462,-0.464231,0.91867,a>d>b>c>e
-0.793195,0.630156,1.435899,-0.397349,0.953637,a>d>b>c>e
-0.79905,0.674103,1.48168,-0.419643,0.91867,a>d>b>c>e
-0.860018,0.597195,1.344336,-0.575701,0.848738,a>b>d>c>e
-0.865873,0.597195,1.344336,-0.486525,0.866221,a>d>b>c>e
-0.839664,0.597195,1.298555,-0.464231,0.866221,a>d>b>c>e
-0.819404,0.641142,1.527462,-0.464231,0.813771,a>d>b>c>e
-0.756949,0.652129,1.435899,-0.419643,0.953637,a>b>d>c>e
-0.783065,0.641142,1.298555,-0.553407,1.014828,a>d>b>c>e
-0.736595,0.685089,1.298555,-0.352761,1.154694,a>b>d>c>e
-0.756949,0.827918,1.390117,-0.241291,1.189661,a>d>b>c>e
-0.77721,0.783971,1.344336,-0.419643,1.189661,a>b>d>c>e
-0.803418,0.761997,1.298555,-0.285879,1.128469,a>b>d>c>e
-0.813549,0.761997,1.252773,-0.263585,1.041053,a>b>d>c>e
-0.84552,0.707063,1.48168,-0.285879,0.988603,a>b>d>e>c
-0.849888,0.783971,1.435899,-0.218997,1.041053,a>b>d>c>e
-0.84552,0.838904,1.664806,-0.174409,1.084761,a>b>d>c>e
-0.84552,0.904825,1.80215,-0.174409,1.145953,a>d>b>c>e
-0.891989,0.904825,1.573243,-0.308173,1.224627,a>b>d>c>e
-0.839664,0.882852,1.619025,-0.308173,1.268335,a>b>d>c>e
-0.876004,0.805944,1.48168,-0.352761,1.233369,a>b>d>c>e
-0.891989,0.761997,1.390117,-0.441937,1.207144,a>b>d>c>e
-0.881766,0.772984,1.344336,-0.397349,1.198402,a>b>d>c>e
-0.902119,0.71805,0.978084,-0.352761,1.180919,a>b>d>e>c
-0.916618,0.71805,0.978084,-0.352761,1.180919,a>b>d>c>e
-0.979073,0.630156,0.749177,-0.508819,1.093503,a>b>d>e>c
-0.999426,0.641142,0.749177,-0.531113,1.093503,a>b>d>c>e
-0.979073,0.619169,0.84074,-0.620289,1.110986,a>b>d>e>c
-1.009557,0.553248,0.566051,-0.664876,1.058536,a>b>d>e>c
-0.968942,0.520288,0.52027,-0.709464,1.093503,a>b>d>e>c
-0.952957,0.542261,0.611833,-0.709464,1.041053,a>b>d>e>c
-0.968942,0.553248,0.703396,-0.68717,1.067278,a>b>d>c>e
-0.968942,0.575222,0.84074,-0.642583,1.049795,a>b>d>e>c
-0.932603,0.542261,0.886522,-0.642583,1.058536,a>b>d>e>c
-0.963087,0.542261,0.794959,-0.820934,1.041053,a>b>d>e>c
-1.009557,0.542261,0.657614,-0.664876,1.014828,a>b>d>e>c
-0.974705,0.531275,0.657614,-0.68717,1.014828,a>b>d>e>c
-0.963087,0.575222,0.84074,-0.620289,1.119728,a>b>d>c>e
-0.974705,0.520288,0.886522,-0.575701,1.145953,a>b>d>c>e
-0.948589,0.476341,0.84074,-0.642583,1.154694,a>b>d>c>e
-0.876004,0.542261,0.932303,-0.597995,1.189661,a>b>d>c>e
-0.896357,0.608182,0.932303,-0.620289,1.198402,a>b>d>c>e
-0.916618,0.542261,0.886522,-0.843228,1.154694,a>b>d>c>e
-0.932603,0.531275,0.749177,-0.954698,1.102244,a>b>d>c>e
-0.932603,0.564235,0.749177,-0.976992,1.093503,a>b>d>c>e
-0.963087,0.564235,0.794959,-0.976992,1.119728,a>b>d>c>e
-0.979073,0.586208,0.657614,-0.932404,1.110986,a>b>d>c>e
-0.979073,0.575222,0.703396,-0.91011,1.093503,a>b>d>c>e
-0.984928,0.619169,0.566051,-0.999286,1.102244,a>b>d>c>e
-0.999426,0.619169,0.611833,-0.954698,1.07602,a>b>d>c>e
-0.999426,0.608182,0.52027,-0.887816,1.058536,a>b>d>c>e
-1.041528,0.597195,0.428707,-0.954698,1.067278,a>b>d>c>e
-1.108351,0.575222,0.245581,-0.999286,0.97112,a>b>d>c>e
-1.082235,0.597195,0.291363,-1.043874,0.988603,a>b>d>c>e
-1.056026,0.608182,0.291363,-0.999286,0.979862,a>b>d>c>e
-1.092365,0.597195,0.245581,-0.954698,0.953637,a>b>d>c>e
-1.056026,0.553248,0.337144,-0.954698,0.997345,a>b>c>d>e
-1.005281,0.564235,0.474489,-0.865522,1.014828,a>b>c>d>e
-1.021174,0.597195,0.382926,-0.865522,1.006087,a>c>b>d>e
-1.061881,0.586208,0.337144,-1.02158,1.006087,a>c>b>d>e
-1.051751,0.608182,0.52027,-0.91011,1.110986,a>c>d>b>e
-1.041528,0.608182,0.52027,-0.820934,1.137211,a>d>b>c>e
-1.015412,0.608182,0.52027,-0.79864,1.154694,a>d>b>c>e
-1.045896,0.707063,0.428707,-0.79864,1.172177,a>d>b>c>e
-1.061881,0.674103,0.52027,-0.865522,1.198402,a>d>b>c>e
-1.041528,0.652129,0.474489,-0.865522,1.259594,a>d>b>c>e
-0.984928,0.553248,0.382926,-0.820934,1.303302,a>d>c>b>e
-0.999426,0.608182,0.382926,-0.843228,1.29456,a>d>b>c>e
-0.999426,0.652129,0.428707,-0.887816,1.338268,a>b>c>d>e
-1.025542,0.630156,0.428707,-0.954698,1.320785,a>d>c>b>e
-0.989296,0.641142,0.474489,-0.954698,1.408201,a>d>c>b>e
-0.995058,0.641142,0.474489,-0.887816,1.513101,a>d>c>b>e
-1.051751,0.608182,0.52027,-0.91011,1.495617,a>d>e>b>c
-1.108351,0.553248,0.428707,-0.932404,1.504359,a>d>e>b>c
-1.067643,0.553248,0.52027,-0.843228,1.583033,a>d>b>e>c
-0.999426,0.542261,0.474489,-0.754052,1.618,a>d>b>e>c
-0.922473,0.520288,0.428707,-0.553407,1.661708,a>d>b>e>c
-0.912343,0.608182,0.474489,-0.486525,1.757866,a>d>b>e>c
-0.928235,0.641142,0.52027,-0.508819,1.731641,a>d>b>e>c
-0.906487,0.641142,0.566051,-0.553407,1.784091,a>b>d>c>e
-0.886134,0.531275,0.611833,-0.553407,1.819057,a>b>d>c>e
-0.902119,0.619169,0.657614,-0.597995,1.810316,a>b>d>c>e
-0.896357,0.608182,0.52027,-0.642583,1.827799,a>d>b>e>c
-0.912343,0.619169,0.428707,-0.575701,1.906473,a>d>b>c>e
-0.896357,0.663116,0.52027,-0.308173,1.967665,a>d>b>c>e
-0.916618,0.663116,0.566051,-0.174409,2.125014,a>d>b>e>c
-0.932603,0.597195,0.474489,-0.218997,2.037598,a>d>b>e>c
-0.942827,0.542261,0.474489,-0.375055,1.958923,a>d>b>e>c
-0.968942,0.564235,0.52027,-0.352761,1.950181,a>d>b>c>e
-0.942827,0.520288,0.474489,-0.263585,1.967665,a>d>b>e>c
-0.948589,0.509301,0.474489,-0.263585,1.976406,a>d>b>e>c
-0.958812,0.575222,0.52027,-0.285879,2.011373,a>d>b>e>c
-0.928235,0.586208,0.474489,-0.218997,2.055081,a>d>b>c>e
-0.896357,0.608182,0.474489,-0.285879,2.020114,a>d>c>e>b
-0.942827,0.586208,0.474489,-0.419643,1.923957,a>d>e>b>c
-0.942827,0.586208,0.474489,-0.419643,1.94144,a>d>e>b>c
-0.999426,0.553248,0.474489,-0.597995,1.810316,a>d>e>b>c
-1.005281,0.597195,0.52027,-0.531113,1.784091,a>d>b>e>c
-0.968942,0.597195,0.566051,-0.397349,1.854024,a>d>e>b>c
-0.963087,0.564235,0.657614,-0.486525,1.854024,a>d>e>b>c
-0.902119,0.608182,0.703396,-0.352761,1.932698,a>d>c>e>b
-0.835296,0.597195,0.749177,-0.196703,1.950181,a>d>c>b>e
-0.823679,0.597195,1.069647,-0.263585,2.037598,a>d>c>b>e
-0.823679,0.608182,0.978084,-0.263585,2.020114,a>d>b>e>c
-0.839664,0.816931,1.023866,-0.218997,2.002631,a>d>e>b>c
-0.835296,0.783971,1.069647,-0.129821,2.020114,a>d>e>b>c
-0.77721,0.772984,1.023866,-0.085233,2.037598,a>d>e>b>c
-0.762711,0.794957,1.115429,0.070824,2.090047,a>d>e>c>b
-0.756949,0.794957,1.069647,0.026236,2.125014,a>d>e>b>c
-0.710479,0.838904,1.115429,0.093118,2.194947,a>d>b>e>c
-0.66401,0.882852,1.252773,0.093118,2.221172,a>d>b>e>c
-0.726465,0.827918,1.023866,-0.085233,1.99389,a>d>c>e>b
-0.793195,0.805944,1.023866,-0.062939,2.002631,a>d>e>b>c
-0.79905,0.827918,1.069647,-0.040645,2.063822,a>d>e>c>b
-0.819404,0.860878,1.16121,0.003943,2.090047,a>d>e>c>b
-0.839664,0.838904,1.206992,-0.040645,2.098789,a>d>e>b>c
-0.84552,0.849891,1.16121,-0.062939,2.063822,a>d>e>b>c
-0.756949,0.882852,1.115429,0.003943,2.055081,a>d>e>b>c
-0.742357,0.849891,1.206992,-0.062939,2.116272,a>d>e>b>c
-0.716242,0.860878,1.344336,0.04853,2.21243,a>d>e>c>b
-0.706111,0.904825,1.206992,0.026236,2.168722,a>d>e>b>c
-0.73074,0.904825,1.16121,-0.018351,2.151239,a>d>e>b>c
-0.690126,0.871865,0.978084,-0.129821,2.168722,a>d>e>b>c
-0.653787,0.838904,0.932303,-0.062939,2.151239,a>d>e>b>c
-0.66401,0.816931,0.794959,-0.062939,2.15998,a>d>e>b>c
-0.669772,0.860878,0.886522,-0.062939,2.116272,a>d>e>b>c
-0.66401,0.882852,0.749177,-0.040645,2.125014,a>d>e>b>c
-0.637801,0.926799,0.84074,-0.040645,2.133755,a>d>e>b>c
-0.627671,0.970746,0.978084,-0.040645,2.21243,a>d>e>b>c
-0.649419,0.915812,0.84074,-0.107527,2.21243,a>d>e>b>c
-0.571071,0.970746,0.978084,0.04853,2.177463,a>d>e>c>b
-0.560848,0.981733,0.932303,0.070824,2.247396,a>d>e>c>b
-0.504248,1.05864,0.932303,0.182294,2.326071,a>d>e>b>c
-0.498393,1.0916,0.794959,0.182294,2.308588,a>d>e>b>c
-0.520234,1.102587,0.84074,0.137706,2.299846,a>e>d>b>c
-0.51001,1.135548,0.932303,0.026236,1.906473,a>e>d>c>b
-0.530364,1.0916,0.749177,0.070824,1.696674,a>d>e>b>c
-0.540587,1.113574,0.703396,-0.018351,1.749124,a>d>e>b>c
-0.467909,1.0916,0.566051,-0.018351,1.626742,a>e>d>b>c
-0.395324,1.080614,0.703396,0.093118,1.644225,e>a>d>b>c
-0.390956,1.047653,0.657614,-0.018351,1.67045,e>a>d>b>c
-0.338724,1.124561,0.703396,-0.018351,1.652966,e>a>d>b>c
-0.287887,1.135548,0.749177,-0.040645,1.583033,e>a>d>b>c
-0.312515,1.113574,0.703396,-0.062939,1.478134,e>a>d>b>c
-0.36484,1.05864,0.657614,-0.085233,1.381976,e>a>d>b>c
-0.358985,1.135548,0.703396,-0.241291,1.364493,e>a>d>b>c
-0.390956,1.146534,0.611833,-0.285879,1.250852,e>a>d>b>c
-0.401179,1.0916,0.703396,-0.263585,1.250852,e>a>d>b>c
-0.411309,1.080614,0.749177,-0.330467,1.24211,e>a>d>b>c
-0.318371,1.080614,0.703396,-0.308173,1.277077,e>a>d>b>c
-0.219577,1.102587,0.794959,-0.218997,1.29456,e>a>d>b>c
-0.152846,1.102587,0.794959,-0.040645,1.259594,e>a>d>b>c
-0.122362,1.124561,0.794959,0.04853,1.24211,e>a>d>b>c
-0.184724,1.146534,0.84074,0.093118,1.250852,e>a>d>b>c
-0.199316,1.168508,0.886522,0.137706,1.259594,e>a>b>d>c
-0.205078,1.212455,0.932303,0.115412,1.268335,e>a>d>b>c
-0.219577,1.212455,0.978084,0.204588,1.250852,e>a>d>b>c
-0.266046,1.212455,1.023866,0.093118,1.24211,e>d>a>b>c
-0.255916,1.234429,1.16121,0.115412,1.34701,e>d>a>b>c
-0.251547,1.256402,1.206992,0.04853,1.373235,e>d>a>b>c
-0.219577,1.278376,1.344336,0.115412,1.355751,e>d>a>b>c
-0.178962,1.201468,1.206992,0.026236,1.303302,e>a>d>b>c
-0.205078,1.179495,1.298555,0.026236,1.312043,e>d>a>b>c
-0.219577,1.190481,1.390117,-0.018351,1.320785,e>d>a>b>c
-0.271901,1.256402,1.344336,-0.040645,1.29456,e>d>a>b>c
-0.401179,1.157521,1.206992,-0.085233,1.259594,e>d>a>b>c
-0.35471,1.146534,1.115429,-0.062939,1.250852,e>b>d>a>c
-0.324133,1.201468,1.16121,-0.062939,1.250852,e>b>d>a>c
-0.328501,1.234429,1.115429,-0.085233,1.224627,e>b>d>a>c
-0.385194,1.234429,1.115429,-0.085233,1.268335,e>b>a>d>c
-0.302385,1.201468,1.16121,-0.085233,1.268335,e>b>a>d>c
-0.348854,1.157521,1.023866,-0.085233,1.268335,e>b>d>a>c
-0.318371,1.146534,1.115429,0.003943,1.29456,e>b>a>d>c
-0.395324,1.124561,1.023866,-0.085233,1.268335,e>a>b>d>c
-0.411309,1.168508,1.069647,0.003943,1.259594,e>a>b>d>c
-0.372089,1.190481,1.023866,0.026236,1.277077,e>a>b>d>c
-0.40406,1.201468,0.978084,0.026236,1.24211,e>b>a>d>c
-0.441793,1.201468,1.16121,0.16,1.233369,e>b>a>d>c
-0.36484,1.157521,1.115429,0.27147,1.207144,e>b>a>d>c
-0.318371,1.190481,1.115429,0.427528,1.154694,e>a>b>d>c
-0.334356,1.223442,1.023866,0.49441,1.032312,e>b>a>d>c
-0.348854,1.245415,0.978084,0.49441,1.02357,e>b>a>d>c
-0.465028,1.234429,0.932303,0.427528,0.866221,e>b>a>d>c
-0.511497,1.223442,0.84074,0.249176,0.839996,e>b>a>d>c
-0.550718,1.256402,0.657614,0.182294,0.892446,e>a>b>d>c
