A1,A2,A3,A4,ranking
-1.35775,1.019751,-0.68646,-0.825427,d>a>c>b
-1.352759,1.019751,-0.924829,-0.641159,c>a>b>d
-1.352759,1.019751,0.584838,0.127537,a>c>b>d
-1.352759,1.019751,-0.765917,-0.654911,b>a>c>d
-1.35775,1.019751,-0.448092,-0.408304,b>a>c>d
-1.352759,1.015069,0.74375,-0.894641,a>c>b>d
-1.352759,1.019751,-0.924829,-0.784631,c>a>b>d
-1.347768,1.019751,1.856137,-1.111911,b>a>c>d
-1.352759,1.019751,1.856137,-1.052323,a>c>b>d
-1.352759,1.019751,1.856137,-1.031237,a>c>b>d
-1.352759,1.019751,0.505382,-0.77363,a>b>c>d
-1.352759,1.019751,1.856137,-0.853846,d>b>a>c
-1.347768,1.019751,0.902663,-0.8048,a>c>b>d
-1.347768,1.019751,-1.481022,-0.807091,c>a>b>d
-1.347768,1.015069,-1.481022,-1.160041,b>a>c>d
-1.347768,1.015069,1.856137,-1.094035,b>c>a>d
-1.347768,1.015069,-1.004285,-0.752545,a>c>b>d
-1.352759,1.015069,1.856137,-1.10962,b>a>c>d
-1.352759,1.015069,1.856137,-1.164166,b>a>c>d
-1.347768,1.010387,-0.130267,-0.724584,a>c>b>d
-1.347768,1.015069,0.823207,-0.422056,a>c>b>d
-1.342777,1.015069,0.584838,1.234515,c>a>b>d
-1.342777,1.024432,0.187557,0.898525,a>c>b>d
-1.342777,1.019751,0.028645,-1.054615,d>a>c>b
-1.342777,1.024432,-0.527548,0.47957,c>a>b>d
-1.342777,1.024432,0.664294,0.457109,a>c>b>d
-1.337785,1.019751,0.028645,0.926028,a>c>b>d
-1.337785,1.019751,-0.050811,1.45316,c>a>b>d
-1.337785,1.019751,0.823207,-0.816717,d>a>c>b
-1.337785,1.019751,1.856137,-0.22037,a>c>b>d
-1.342777,1.019751,0.425926,1.482955,c>a>b>d
-1.332794,1.024432,1.856137,-0.516481,d>b>c>a
-1.332794,1.019751,1.856137,-0.279501,c>a>d>b
-1.337785,1.019751,1.856137,-0.402346,a>c>d>b
-1.332794,1.024432,1.856137,0.387436,c>a>b>d
-1.337785,1.024432,-0.050811,0.32143,c>a>b>d
-1.337785,1.024432,1.856137,-0.555443,d>a>c>b
-1.337785,1.024432,0.267013,0.537784,c>a>b>d
-1.337785,1.024432,-0.209723,0.60654,c>a>b>d
-1.337785,1.029114,1.856137,-0.119069,c>a>d>b
-1.337785,1.029114,0.505382,-0.46881,c>d>a>b
-1.337785,1.029114,1.856137,-0.621908,d>c>a>b
-1.337785,1.029114,-0.050811,1.093794,c>a>b>d
-1.337785,1.029114,1.856137,0.712425,c>a>b>d
-1.327803,1.033796,1.697224,-0.055355,d>a>c>b
-1.327803,1.033796,1.458856,0.247173,d>c>a>b
-1.332794,1.029114,0.982119,-0.027394,d>a>c>b
-1.332794,1.038478,0.664294,-1.055073,d>a>b>c
-1.327803,1.038478,1.856137,0.075282,d>c>a>b
-1.332794,1.033796,1.856137,0.409438,d>c>a>b
-1.332794,1.038478,1.856137,-0.010892,d>c>a>b
-1.322812,1.038478,-0.050811,1.215263,a>c>d>b
-1.322812,1.033796,1.697224,0.137163,d>c>a>b
-1.317821,1.033796,1.220487,0.361309,d>c>a>b
-1.317821,1.029114,0.902663,1.079584,d>c>a>b
-1.312829,1.033796,0.108101,-0.194701,d>c>a>b
-1.317821,1.033796,0.425926,0.184376,d>c>a>b
-1.307838,1.033796,-0.845373,-0.466977,d>a>b>c
-1.312829,1.033796,0.505382,0.105077,d>c>a>b
-1.317821,1.029114,0.425926,1.113504,d>c>a>b
-1.307838,1.029114,-0.050811,-0.600364,d>c>a>b
-1.312829,1.029114,-0.209723,-0.479811,d>a>c>b
-1.307838,1.029114,0.028645,-0.387219,d>c>a>b
-1.307838,1.024432,0.267013,-0.367051,d>c>a>b
-1.312829,1.024432,0.664294,-0.644826,d>c>a>b
-1.312829,1.024432,0.823207,0.519907,d>c>a>b
-1.302847,1.019751,0.108101,-1.074325,d>b>c>a
-1.317821,1.024432,1.856137,-0.119528,d>c>a>b
-1.312829,1.019751,1.299943,0.150456,d>c>a>b
-1.317821,1.015069,1.697224,0.090409,a>c>b>d
-1.317821,1.015069,0.74375,-0.174991,a>c>d>b
-1.317821,1.019751,1.856137,-0.571486,d>c>a>b
-1.322812,1.019751,1.856137,-0.304711,d>a>c>b
-1.322812,1.015069,1.856137,-0.207536,c>a>b>d
-1.322812,1.015069,1.856137,-0.160323,c>a>b>d
-1.322812,1.015069,1.856137,0.039071,d>c>a>b
-1.322812,1.019751,1.856137,-0.280417,d>c>a>b
-1.322812,1.019751,1.856137,0.141288,d>c>a>b
-1.327803,1.015069,1.856137,-0.276292,c>a>d>b
-1.327803,1.019751,1.856137,-0.551318,d>b>a>c
-1.322812,1.019751,1.856137,0.133496,d>c>a>b
-1.327803,1.019751,1.856137,-0.14703,d>b>a>c
-1.332794,1.019751,1.856137,-0.069106,d>b>c>a
-1.332794,1.019751,1.856137,-0.52519,d>c>b>a
-1.327803,1.019751,1.856137,0.0817,d>c>a>b
-1.332794,1.019751,1.856137,-0.24879,a>c>b>d
-1.332794,1.015069,1.856137,-0.801133,c>a>d>b
-1.337785,1.015069,1.856137,-0.25154,c>a>b>d
-1.332794,1.019751,1.856137,-0.056272,c>a>d>b
-1.337785,1.019751,1.3794,0.273301,a>c>b>d
-1.337785,1.015069,1.061575,0.680339,c>a>b>d
-1.337785,1.015069,1.141031,-0.12457,a>c>b>d
-1.337785,1.015069,0.982119,-0.533899,a>c>b>d
-1.337785,1.015069,0.028645,-0.076899,a>c>b>d
-1.332794,1.010387,-0.130267,-0.460101,a>c>b>d
-1.337785,1.010387,1.299943,-0.389511,b>a>c>d
-1.337785,1.010387,1.697224,-0.919852,b>d>c>a
-1.337785,1.010387,1.856137,-0.594405,b>a>c>d
-1.337785,1.015069,0.584838,-0.439016,b>a>c>d
-1.337785,1.015069,1.141031,-0.133737,c>a>b>d
-1.332794,1.015069,1.856137,-0.751628,b>c>a>d
-1.332794,1.015069,1.856137,-0.478894,b>a>c>d
-1.332794,1.015069,1.856137,-0.481186,a>b>c>d
-1.332794,1.015069,1.458856,-0.270333,c>a>b>d
-1.327803,1.015069,1.856137,-0.661786,b>a>c>d
-1.332794,1.015069,1.856137,-0.381719,b>c>a>d
-1.332794,1.015069,1.617768,0.092701,a>c>b>d
-1.327803,1.015069,1.856137,-0.849262,c>b>a>d
-1.327803,1.015069,1.77668,-0.479353,c>a>b>d
-1.327803,1.015069,1.697224,-0.407846,a>c>b>d
-1.327803,1.015069,1.856137,-0.634284,b>a>c>d
-1.327803,1.010387,1.141031,1.525125,b>a>c>d
-1.327803,1.010387,1.856137,-0.390886,b>c>a>d
-1.327803,1.010387,0.108101,-0.750253,b>c>a>d
-1.332794,1.010387,0.823207,-0.534816,b>a>c>d
-1.332794,1.010387,1.458856,-0.579279,b>a>c>d
-1.332794,1.010387,1.856137,-0.899225,d>b>a>c
-1.332794,1.010387,1.141031,-0.462851,b>c>a>d
-1.337785,1.010387,1.77668,-1.127955,d>b>c>a
-1.337785,1.010387,0.823207,-0.996859,b>a>c>d
-1.337785,1.010387,1.856137,-0.794715,d>b>c>a
-1.342777,1.015069,-0.68646,-0.120444,a>c>b>d
-1.322812,1.001024,1.856137,-1.028945,b>c>a>d
-1.322812,1.001024,1.856137,-0.686997,b>a>c>d
-1.327803,1.001024,1.856137,-0.855679,d>b>a>c
-1.327803,1.005705,1.856137,-0.991817,d>b>a>c
-1.327803,1.005705,1.856137,-0.81305,b>d>c>a
-1.322812,1.005705,1.697224,-0.328089,b>a>c>d
-1.327803,1.005705,1.141031,-0.557277,b>a>c>d
-1.327803,1.005705,1.856137,-0.756212,b>c>a>d
-1.327803,1.005705,1.220487,-0.135571,b>a>c>d
-1.327803,1.010387,1.538312,-0.430765,b>a>c>d
-1.327803,1.010387,1.617768,-0.669579,b>c>a>d
-1.322812,1.010387,0.664294,-0.134196,b>a>c>d
-1.327803,1.010387,0.108101,-0.928561,b>a>c>d
-1.327803,1.010387,0.902663,-0.781881,b>a>c>d
-1.322812,1.010387,1.220487,-0.526565,d>b>a>c
-1.322812,1.010387,1.856137,0.361309,b>c>a>d
-1.317821,1.010387,1.856137,-0.858888,d>b>c>a
-1.322812,1.010387,1.3794,-0.123653,b>a>c>d
-1.322812,1.010387,1.617768,-0.371176,c>b>a>d
-1.322812,1.010387,0.74375,0.189418,b>c>a>d
-1.312829,1.010387,0.028645,-0.456434,a>c>b>d
-1.317821,1.010387,1.458856,-0.500896,d>b>c>a
-1.317821,1.010387,0.425926,-0.12457,b>a>c>d
-1.317821,1.010387,0.505382,-0.408304,b>c>a>d
-1.317821,1.015069,0.823207,-0.290043,a>c>b>d
-1.317821,1.015069,0.823207,-0.283168,c>b>a>d
-1.312829,1.015069,1.141031,0.187584,d>a>c>b
-1.312829,1.015069,1.856137,-0.499063,d>a>c>b
-1.317821,1.015069,1.856137,0.404855,c>a>b>d
-1.312829,1.015069,0.982119,-0.259332,d>c>a>b
-1.317821,1.015069,1.538312,-0.602656,d>c>a>b
-1.307838,1.015069,1.538312,-0.431682,d>a>c>b
-1.307838,1.015069,1.3794,-0.319838,d>c>a>b
-1.307838,1.010387,1.697224,-0.764463,d>a>c>b
-1.312829,1.010387,0.902663,-0.722292,d>a>b>c
-1.312829,1.015069,1.3794,-0.272625,d>c>a>b
-1.307838,1.015069,1.856137,-0.377135,d>c>a>b
-1.307838,1.010387,1.299943,0.037695,d>c>a>b
-1.307838,1.010387,-0.050811,0.232964,a>c>b>d
-1.312829,1.010387,0.505382,-0.382177,a>c>b>d
-1.312829,1.010387,1.617768,-0.803883,b>d>c>a
-1.312829,1.010387,1.220487,-0.465143,c>b>a>d
-1.317821,1.010387,1.299943,-0.238705,b>a>c>d
-1.312829,1.010387,1.299943,-0.281793,b>a>c>d
-1.317821,1.005705,1.3794,-0.181867,c>b>a>d
-1.317821,1.005705,1.856137,-0.531149,b>a>c>d
-1.317821,1.005705,1.856137,-0.724125,b>d>c>a
-1.317821,1.005705,1.617768,-0.796549,d>b>c>a
-1.322812,1.005705,1.220487,0.152289,b>a>c>d
-1.317821,1.005705,1.141031,-0.428015,b>a>c>d
-1.317821,1.005705,1.458856,-0.804341,b>d>c>a
-1.322812,1.001024,0.902663,-0.981733,d>b>c>a
-1.322812,1.005705,1.697224,-0.394095,b>a>c>d
-1.322812,1.005705,1.220487,-0.439016,b>c>a>d
-1.322812,1.005705,1.77668,-0.457809,b>a>c>d
-1.317821,0.996342,1.856137,-0.557277,b>c>a>d
-1.317821,1.001024,1.856137,-0.93727,d>a>b>c
-1.317821,1.001024,1.856137,-0.86668,d>b>a>c
-1.312829,1.001024,1.617768,-0.16674,b>c>a>d
-1.317821,1.001024,1.3794,-0.642535,b>c>a>d
-1.317821,1.001024,1.141031,-0.742002,a>b>c>d
-1.307838,1.001024,1.061575,-0.780964,b>c>a>d
-1.312829,1.001024,0.823207,0.024403,b>a>c>d
-1.312829,1.001024,0.982119,-0.499063,a>b>c>d
-1.312829,1.005705,1.856137,-0.153906,d>b>c>a
-1.312829,1.005705,0.823207,-0.405096,b>c>a>d
-1.312829,1.005705,1.697224,-0.352383,b>c>a>d
-1.312829,1.001024,1.141031,-0.094317,b>c>a>d
-1.317821,1.005705,1.220487,-0.415638,b>c>a>d
-1.307838,1.005705,1.856137,-0.737877,d>b>a>c
-1.307838,1.001024,1.856137,-0.213495,c>a>d>b
-1.307838,1.001024,1.856137,-0.140613,d>c>a>b
-1.307838,1.005705,1.856137,-0.065898,d>b>a>c
-1.307838,1.005705,1.856137,-0.20066,a>c>d>b
-1.302847,1.005705,0.34647,-1.143081,d>b>c>a
-1.307838,1.005705,1.617768,-0.665912,d>c>a>b
-1.307838,1.005705,1.856137,-0.717708,d>b>c>a
-1.312829,1.005705,1.299943,-0.398678,d>c>a>b
-1.302847,1.010387,0.823207,-0.925352,d>c>b>a
-1.302847,1.010387,0.982119,-0.561402,d>b>a>c
-1.302847,1.010387,1.3794,-0.241456,d>a>b>c
-1.307838,1.010387,1.458856,-0.644826,d>c>a>b
-1.307838,1.010387,1.697224,-0.77088,d>a>b>c
-1.302847,1.019751,0.664294,-0.455059,d>c>a>b
-1.302847,1.015069,0.425926,-0.587071,d>c>a>b
-1.302847,1.015069,-0.448092,-0.146113,d>b>c>a
-1.277891,1.001024,-0.368636,-0.081024,d>b>c>a
-1.292865,1.010387,-0.527548,4.678294,c>a>b>d
-1.297856,1.005705,1.061575,-0.509605,d>c>a>b
-1.297856,1.001024,0.108101,0.316388,c>a>b>d
-1.302847,1.005705,1.141031,-0.298294,a>d>c>b
-1.302847,1.005705,1.697224,-0.455517,d>a>c>b
-1.297856,1.005705,1.617768,-0.798841,d>c>b>a
-1.297856,1.005705,1.856137,-0.908851,d>a>c>b
-1.292865,1.001024,1.458856,-0.63245,d>c>b>a
-1.292865,1.001024,1.538312,-0.760337,d>a>c>b
-1.292865,1.001024,1.299943,-0.142905,d>c>a>b
-1.292865,1.001024,0.823207,-0.482561,d>a>c>b
-1.297856,1.001024,0.823207,-0.469268,d>b>c>a
-1.297856,1.001024,0.187557,-0.097067,a>b>c>d
-1.297856,0.996342,0.982119,-0.477519,b>c>a>d
-1.297856,0.996342,1.458856,-0.23733,a>c>b>d
-1.302847,0.996342,0.664294,-0.486228,a>b>c>d
-1.297856,0.996342,0.74375,-0.399595,a>c>b>d
-1.302847,0.996342,1.697224,-0.664078,b>a>c>d
-1.302847,0.996342,1.856137,-0.862555,d>a>b>c
-1.302847,0.996342,1.617768,-0.150239,b>c>a>d
-1.302847,1.001024,-0.130267,-0.791507,a>c>b>d
-1.302847,1.001024,1.061575,-0.667287,b>d>c>a
-1.302847,0.996342,1.141031,-0.283168,b>a>c>d
-1.307838,0.996342,1.617768,-0.581112,b>c>a>d
-1.302847,1.001024,1.856137,0.049613,c>b>a>d
-1.302847,1.001024,1.77668,-0.242372,a>c>b>d
-1.302847,1.001024,1.856137,-0.406929,c>b>a>d
-1.307838,0.996342,1.856137,-0.280417,a>b>c>d
-1.312829,0.996342,1.458856,-0.696623,b>c>a>d
-1.307838,1.001024,0.982119,-0.274917,b>a>c>d
-1.307838,1.001024,1.299943,-0.359258,b>a>c>d
-1.307838,0.996342,0.982119,-0.786006,a>b>c>d
-1.307838,0.996342,1.299943,-0.752086,c>b>a>d
-1.312829,0.99166,0.584838,-0.930395,b>c>a>d
-1.312829,0.996342,0.664294,0.020277,a>b>c>d
-1.307838,0.996342,0.74375,-0.523815,b>c>a>d
-1.307838,0.99166,-0.765917,-0.196535,a>c>b>d
-1.307838,0.99166,-0.050811,-0.815801,a>b>c>d
-1.307838,0.996342,-0.209723,-0.61549,b>c>a>d
-1.307838,0.986978,0.584838,-0.819926,b>a>c>d
-1.302847,0.986978,1.061575,-0.960189,d>a>b>c
-1.307838,0.982297,1.220487,-0.719542,b>c>a>d
-1.307838,0.986978,1.141031,-0.884099,d>b>c>a
-1.307838,0.982297,1.299943,-0.507772,b>c>a>d
-1.302847,0.982297,1.061575,-0.791507,d>b>a>c
-1.302847,0.982297,1.141031,-0.570569,b>c>a>d
-1.302847,0.982297,1.220487,-0.95698,b>d>c>a
-1.302847,0.982297,1.061575,0.659253,b>a>c>d
-1.297856,0.986978,0.982119,-0.46881,b>a>c>d
-1.297856,0.986978,1.458856,-0.995942,d>c>a>b
-1.297856,0.986978,1.141031,-0.833219,d>a>b>c
-1.297856,0.982297,1.141031,-0.532983,b>a>c>d
-1.302847,0.986978,0.505382,-0.977149,b>a>c>d
-1.297856,0.986978,1.3794,-0.737877,d>b>c>a
-1.297856,0.986978,1.3794,-0.855679,b>c>a>d
-1.302847,0.986978,1.3794,-0.244206,b>a>c>d
-1.302847,0.99166,1.299943,-1.056906,d>b>a>c
-1.302847,0.99166,1.3794,-0.776839,b>a>c>d
-1.297856,0.99166,0.74375,-0.753461,b>a>c>d
-1.302847,0.99166,1.299943,-0.754378,b>c>a>d
-1.307838,0.99166,0.584838,-0.692039,a>b>c>d
-1.302847,0.99166,1.141031,-0.733293,b>a>c>d
-1.302847,0.99166,0.584838,-0.728251,b>a>c>d
-1.297856,0.996342,0.34647,-0.621449,b>a>c>d
-1.297856,0.99166,1.141031,-0.480728,b>c>a>d
-1.297856,0.99166,0.982119,-0.631992,b>a>c>d
-1.297856,0.99166,1.220487,-0.649869,b>c>a>d
-1.297856,0.99166,1.538312,-0.405554,a>c>b>d
-1.292865,0.996342,1.299943,-0.154364,b>c>a>d
-1.292865,0.99166,0.74375,-0.081941,a>b>c>d
-1.297856,0.99166,1.458856,-0.750711,d>b>a>c
-1.297856,0.996342,0.902663,-0.435807,c>b>a>d
-1.292865,0.996342,1.3794,-0.370718,d>b>c>a
-1.292865,0.996342,0.584838,0.066573,a>c>b>d
-1.287874,0.996342,0.823207,-0.372551,d>b>a>c
-1.282882,1.001024,-0.130267,-0.18645,d>b>c>a
-1.282882,0.996342,0.425926,-0.514648,d>a>c>b
-1.277891,0.996342,-0.209723,0.288885,d>c>a>b
-1.2729,0.99166,0.34647,-0.378968,d>b>a>c
-1.2729,0.99166,-0.050811,-0.84422,d>b>a>c
-1.282882,0.99166,0.584838,-0.891891,d>b>c>a
-1.282882,0.99166,0.34647,-0.596697,d>b>c>a
-1.277891,0.99166,0.108101,-1.018403,d>b>a>c
-1.277891,0.99166,0.584838,-0.856138,d>a>b>c
-1.277891,0.986978,0.982119,0.808684,d>c>a>b
-1.292865,0.99166,1.3794,-0.77088,d>b>a>c
-1.287874,0.99166,0.902663,-0.545817,d>b>c>a
-1.287874,0.99166,1.220487,-0.319838,a>d>b>c
-1.287874,0.986978,0.982119,-0.815801,d>b>c>a
-1.292865,0.99166,-0.368636,-0.387677,a>b>c>d
-1.292865,0.99166,1.220487,-0.925352,d>b>c>a
-1.287874,0.986978,1.141031,-0.574236,d>b>c>a
-1.287874,0.986978,1.617768,-0.600822,d>c>b>a
-1.292865,0.99166,0.902663,-0.645743,b>a>c>d
-1.292865,0.99166,0.505382,-0.902434,d>b>a>c
-1.297856,0.986978,0.425926,-0.647577,b>c>a>d
-1.297856,0.99166,0.664294,-0.57607,b>a>c>d
-1.292865,0.986978,1.141031,-0.505022,d>b>c>a
-1.292865,0.986978,1.3794,-0.736502,d>c>b>a
-1.292865,0.986978,1.856137,-0.854763,d>a>c>b
-1.292865,0.986978,1.458856,-0.830469,d>a>b>c
-1.292865,0.986978,1.220487,-0.705332,a>b>c>d
-1.35775,1.061886,1.617768,-0.620074,d>c>a>b
-1.35775,1.061886,1.856137,-0.472935,d>c>a>b
-1.35775,1.057205,1.856137,-0.177741,d>a>c>b
-1.362741,1.061886,0.74375,-0.170866,c>a>d>b
-1.35775,1.057205,1.856137,-0.488062,d>a>c>b
-1.362741,1.057205,1.3794,-0.511439,a>c>b>d
-1.362741,1.061886,-1.083741,1.121755,c>a>b>d
-1.362741,1.057205,0.584838,-0.7145,d>a>c>b
-1.362741,1.057205,1.856137,-0.636117,d>c>a>b
-1.377715,1.057205,1.061575,-0.59303,d>a>c>b
-1.382706,1.052523,0.664294,0.194918,c>b>a>d
-1.35775,1.057205,1.856137,0.24534,c>a>b>d
-1.35775,1.052523,1.697224,-0.653077,d>a>c>b
-1.35775,1.057205,1.856137,-0.75942,d>a>c>b
-1.35775,1.057205,1.856137,-0.168115,d>c>b>a
-1.352759,1.052523,1.856137,-0.362925,d>c>a>b
-1.35775,1.057205,1.856137,-0.209828,d>c>a>b
-1.347768,1.061886,1.061575,-0.45185,d>a>c>b
-1.342777,1.061886,1.856137,-0.32488,d>c>a>b
-1.347768,1.061886,1.856137,-0.255207,d>c>a>b
-1.347768,1.061886,1.856137,-0.381719,d>c>a>b
-1.347768,1.061886,1.856137,-0.272625,d>a>c>b
-1.347768,1.057205,1.856137,0.188043,d>c>a>b
-1.352759,1.061886,1.856137,-0.145655,d>c>a>b
-1.352759,1.061886,1.856137,-0.290043,d>c>b>a
-1.352759,1.061886,1.856137,-0.171782,d>c>a>b
-1.352759,1.057205,1.856137,-0.64666,d>c>a>b
-1.352759,1.057205,1.856137,-0.14703,d>a>c>b
-1.352759,1.057205,1.856137,-0.259332,d>a>c>b
-1.352759,1.057205,1.856137,-0.009059,d>c>a>b
-1.347768,1.057205,1.856137,0.001942,d>c>b>a
-1.347768,1.057205,1.856137,-0.301503,d>a>c>b
-1.342777,1.061886,0.664294,-0.190576,d>c>b>a
-1.337785,1.057205,0.982119,-0.692497,d>a>c>b
-1.342777,1.057205,1.856137,0.202711,d>c>a>b
-1.342777,1.057205,1.856137,0.490571,d>c>a>b
-1.337785,1.057205,0.664294,0.166957,d>c>a>b
-1.337785,1.057205,1.061575,0.10416,d>c>a>b
-1.342777,1.052523,1.856137,-0.038853,d>c>a>b
-1.342777,1.052523,1.856137,-0.174533,d>a>c>b
-1.347768,1.052523,1.856137,0.331973,c>a>d>b
-1.347768,1.052523,1.856137,-0.43214,d>c>a>b
-1.347768,1.052523,1.220487,-0.175908,c>a>b>d
-1.352759,1.052523,1.856137,-0.064522,d>c>a>b
-1.352759,1.052523,1.856137,-0.661328,d>c>a>b
-1.352759,1.052523,1.856137,-0.670954,d>c>a>b
-1.35775,1.052523,1.856137,-0.218537,d>a>c>b
-1.35775,1.052523,1.538312,-0.124111,c>a>b>d
-1.35775,1.052523,1.3794,-0.339548,c>a>b>d
-1.35775,1.052523,1.856137,-0.45185,d>c>a>b
-1.362741,1.052523,1.299943,-1.000526,b>a>c>d
-1.362741,1.052523,1.856137,-1.020695,a>c>b>d
-1.362741,1.047841,-1.481022,-0.977607,d>a>c>b
-1.362741,1.043159,1.697224,-0.979441,d>c>a>b
-1.35775,1.038478,1.856137,-0.989525,d>a>c>b
-1.362741,1.052523,1.3794,-0.453225,c>a>b>d
-1.362741,1.047841,1.856137,0.223338,a>c>b>d
-1.352759,1.052523,1.856137,-0.769505,d>a>c>b
-1.352759,1.047841,1.856137,-0.938187,d>a>c>b
-1.352759,1.047841,1.617768,-0.279501,c>a>b>d
-1.35775,1.047841,1.697224,-0.369801,c>a>b>d
-1.35775,1.047841,1.856137,-0.797924,d>c>a>b
-1.352759,1.052523,1.856137,-0.333131,c>a>d>b
-1.352759,1.047841,1.3794,0.177042,c>a>b>d
-1.352759,1.047841,1.3794,-0.393636,c>a>d>b
-1.347768,1.052523,1.856137,0.076657,c>a>b>d
-1.347768,1.047841,0.108101,-0.53665,c>a>b>d
-1.347768,1.052523,0.664294,-0.007684,a>c>b>d
-1.342777,1.052523,1.856137,-0.681496,d>c>a>b
-1.342777,1.052523,1.856137,-0.125028,c>a>b>d
-1.342777,1.052523,1.856137,-0.014559,a>c>b>d
-1.337785,1.047841,0.982119,-0.894183,d>a>c>b
-1.337785,1.047841,1.061575,-0.403262,b>a>c>d
-1.337785,1.047841,1.856137,-0.656286,b>c>a>d
-1.337785,1.047841,1.856137,-0.929019,b>c>a>d
-1.342777,1.047841,1.856137,-0.709916,b>c>a>d
-1.342777,1.047841,1.856137,0.062906,c>a>b>d
-1.347768,1.047841,0.505382,0.266883,a>c>b>d
-1.347768,1.047841,1.617768,-0.589363,c>a>d>b
-1.347768,1.047841,1.856137,0.205461,c>a>b>d
-1.352759,1.043159,1.856137,-0.778214,d>c>a>b
