A1,A2,A3,A4,A5,A6,A7,ranking
0.842091,-1.022447,0.104651,0.983165,0.291222,-0.038456,-0.357593,d>g>e>c>a>b>f
1.609242,-1.260504,-0.635418,0.300637,-0.284693,-0.868777,-0.747092,a>c>b>g>e>d>f
0.857854,-1.419208,-0.371715,0.300637,0.044402,-0.928086,-1.247877,d>f>g>b>a>c>e
-0.282365,-0.308277,1.346605,0.232384,0.743727,1.290057,0.736714,c>e>b>f>d>a>g
-1.538182,-0.308277,2.324857,0.914912,1.689874,1.918728,2.137057,a>b>c>d>e>g>f
-2.389405,0.326541,0.436406,-1.405682,0.167812,2.096654,1.905212,a>f>b>e>c>d>g
-0.618651,-0.387629,0.79368,-0.040627,0.208949,0.673247,0.77381,f>e>a>g>b>c>d
-1.102061,0.405893,0.606536,-0.518396,1.689874,0.566492,0.57906,b>g>c>d>f>a>e
-1.858704,0.088484,6.268488,0.573648,5.433323,4.19618,5.151039,a>b>c>e>d>g>f
-1.564454,0.405893,0.8192,-0.85966,0.908275,1.657771,1.441522,f>c>d>e>a>b>g
-1.779887,0.009132,2.852262,-0.38189,2.142379,3.259104,3.120079,a>g>b>d>f>e>c
-1.60649,-0.07022,0.887252,-11.097573,-0.57265,0.613939,1.089118,a>b>c>e>d>f>g
-1.454111,0.247189,1.295566,-0.040627,-0.284693,1.479845,1.72901,a>b>e>d>c>f>g
-1.506655,-0.308277,1.125435,0.36889,1.443053,0.685109,1.089118,f>e>b>a>c>g>d
1.357028,-0.466982,-1.826333,-0.586649,-2.670627,-1.865162,-1.535364,d>c>a>b>e>g>f
0.600385,-0.149573,-0.499314,0.846659,-0.942882,-0.501064,-1.025306,d>g>c>b>a>f>e
0.978707,-0.387629,-1.545618,-0.723154,-1.806755,-1.497449,-1.748662,d>g>b>f>e>a>c
0.574113,-0.466982,-1.035225,0.300637,-1.395386,-1.307661,-1.210782,g>c>d>f>a>e>b
0.642421,0.009132,-1.469059,-0.450143,-2.135849,-1.011118,-0.849104,e>c>a>b>d>f>g
1.824675,0.167836,-1.749775,-0.927912,-1.642207,-2.066812,-2.054697,d>f>g>b>c>a>e
1.052269,0.167836,-0.70347,0.573648,-1.271976,-1.260214,-0.543069,a>d>c>g>b>f>e
1.493644,-0.387629,-1.349967,-0.313638,-1.518797,-1.378832,-1.359162,g>d>a>f>b>c>e
1.320247,0.485245,-1.41802,-0.654901,-0.613787,-1.319523,-0.978937,e>d>f>g>a>b>c
1.53568,0.326541,-0.890614,0.914912,-1.189702,-0.892501,-1.201508,e>g>d>c>f>a>b
1.840439,-0.228925,-1.452046,-0.723154,-0.079009,-1.568619,-1.386984,g>d>f>b>e>c>a
-0.434744,0.723302,0.649069,0.505395,0.784864,0.803726,0.690345,e>f>g>a>c>b>d
-0.166767,1.040711,0.087638,-0.586649,0.45577,-0.097765,0.671798,b>c>a>g>e>f>d
-1.049517,1.35812,0.759654,-0.177132,1.031685,1.266334,1.079845,e>f>g>a>c>b>d
-1.448856,0.723302,0.802187,0.164132,1.031685,1.728941,1.181856,f>g>b>e>c>d>a
-0.660686,1.278768,0.028092,-1.200923,0.167812,0.471598,0.532691,e>f>g>b>a>d>c
-0.839338,1.35812,1.26154,0.846659,1.401916,1.361227,1.135487,g>f>e>c>a>b>d
-1.254441,0.882006,-0.005934,-0.450143,-0.984018,0.246225,0.198834,f>b>a>g>e>c>d
-1.354276,0.723302,0.487445,0.027626,0.003265,0.803726,0.912916,g>f>c>b>d>e>a
-0.802557,1.278768,-0.031454,-0.85966,-0.243556,0.530906,0.662524,c>g>e>b>f>a>d
-1.532928,0.961359,0.904265,-0.040627,0.867138,0.530906,1.200404,f>a>c>b>e>d>g
-1.275459,0.802654,0.15569,-0.723154,1.196232,0.258087,0.718167,b>e>f>c>a>g>d
-0.298128,0.723302,-0.933147,0.164132,-0.984018,-1.283938,-0.802735,f>d>a>b>e>g>c
0.616149,0.802654,-0.822562,0.36889,-0.44924,-0.643405,-0.552343,g>e>f>d>b>a>c
1.530425,0.723302,-0.805549,-0.245385,-0.202419,-1.36697,-1.312793,e>g>f>d>c>a>b
0.721238,0.802654,-0.75451,0.36889,-0.696061,-0.762022,-0.737818,c>f>a>d>g>b>e
-0.613396,1.35812,-0.388729,0.36889,-1.025155,-0.382447,-0.097927,g>c>a>e>d>b>f
1.220412,0.802654,-1.094771,-0.38189,0.291222,-1.461864,-0.904747,g>b>c>a>e>f>d
1.262448,0.882006,-0.618405,0.983165,-0.654924,-0.856916,-0.895473,d>g>c>a>f>e>b
0.65293,0.802654,-1.83484,-1.678693,-1.971302,-1.556758,-1.535364,e>c>g>f>a>b>d
0.863108,1.278768,-1.222369,-1.200923,-0.613787,-0.880639,-0.858378,b>f>e>a>d>c>g
0.579367,1.278768,-1.043732,-0.723154,-0.819471,-1.09415,-0.997485,g>c>a>f>b>e>d
1.230921,0.961359,-0.558859,-0.177132,0.291222,-1.09415,-1.275698,d>c>f>g>b>e>a
-0.3822,1.913585,-0.03996,-0.450143,0.291222,0.139469,0.226656,g>c>a>e>d>b>f
-0.303383,2.865812,-0.601392,0.027626,-0.079009,-0.524787,0.263751,g>a>e>c>f>d>b
0.022394,1.675529,-0.26113,-0.245385,-0.243556,0.222502,0.560512,g>c>a>f>d>b>e
-1.433093,1.754881,-0.516327,-0.654901,0.167812,-0.370585,0.300846,g>d>c>a>f>b>e
-0.912901,1.516824,-0.97568,-0.791407,0.044402,-0.441755,-0.329772,c>a>g>d>e>b>f
0.06443,1.516824,0.385366,0.710154,0.538043,0.269948,0.486322,g>e>f>c>a>d>b
-0.939173,1.992938,-0.278144,-0.040627,0.291222,0.115746,0.217382,g>d>e>b>f>a>c
-0.933919,2.151642,-0.371715,-0.245385,0.208949,0.068299,0.671798,g>a>b>d>c>e>f
-0.891883,1.754881,-0.405742,-0.723154,-0.613787,-0.228244,-0.264855,d>e>g>c>f>a>b
0.484787,2.151642,-0.720483,-0.791407,-0.120146,-0.394308,-0.413236,g>e>f>c>a>b>d
-0.492544,1.516824,-0.643925,-1.200923,-0.613787,0.412289,-0.15357,c>d>f>g>b>a>e
1.283466,0.088484,-0.073987,0.641901,0.003265,-0.418032,-0.607985,g>d>f>b>c>a>e
0.579367,0.247189,-0.099506,0.778406,-0.531514,-0.489202,-0.561616,d>c>g>f>b>a>e
-0.187785,0.088484,-0.06548,-0.040627,-0.32583,-0.13335,0.282299,a>c>b>d>f>g>e
0.090702,-0.07022,0.028092,-0.177132,0.496906,0.127608,0.059728,g>c>a>d>b>f>e
1.257193,0.167836,-0.465287,0.095879,-0.202419,-0.429893,-0.876925,g>c>f>b>d>a>e
-0.692213,0.088484,0.461925,0.437143,0.003265,0.685109,0.458501,g>d>c>f>e>a>b
1.204649,0.167836,0.18121,1.187923,-0.284693,-0.145212,-0.348319,d>c>a>f>b>g>e
2.287068,0.64395,1.550762,2.075209,1.278506,1.467983,0.616155,g>c>a>f>b>e>d
1.125832,-0.546334,0.334327,0.846659,-0.202419,-0.204521,-0.088653,f>a>c>g>b>d>e
0.915653,0.405893,-0.558859,-0.996165,0.291222,-0.168935,-0.543069,b>c>d>g>f>a>e
0.137992,0.088484,-0.763016,-0.518396,-0.860608,-0.67899,-0.403962,g>e>c>f>d>b>a
-0.376945,0.167836,0.615043,0.505395,0.826001,0.791864,0.133918,f>e>b>a>c>g>d
-0.261347,0.326541,0.666082,0.914912,0.867138,0.673247,0.226656,f>g>c>a>e>b>d
-0.166767,0.247189,-0.176065,0.505395,-0.408103,-0.204521,-0.051558,b>c>a>d>f>g>e
-0.13524,-0.308277,-0.210091,0.300637,-0.696061,-0.489202,-0.311224,f>g>b>d>c>a>e
-0.397963,0.326541,0.606536,0.983165,1.113959,0.317395,0.273025,g>d>f>c>a>b>e
-0.755267,-0.149573,-0.06548,-0.245385,0.661454,0.376704,0.560512,b>a>g>d>e>f>c
0.116974,-0.149573,-0.456781,-0.450143,-2.835175,-0.916224,-0.487426,d>g>f>c>e>a>b
-0.045914,-0.149573,0.725628,0.914912,0.250086,0.519045,0.950012,a>b>c>d>f>g>e
0.069684,0.564597,0.827706,1.11967,1.648737,1.088408,0.838726,e>g>f>d>a>c>b
0.195791,-0.149573,0.512964,1.460934,0.208949,1.100269,-0.357593,g>f>d>e>c>a>b
-0.292874,-0.387629,-0.354702,-0.245385,-1.559934,-0.358723,-0.023736,a>e>d>b>c>g>f
-0.093204,-0.149573,-0.278144,-0.450143,-0.32583,-0.536649,-0.181391,b>e>a>g>f>c>d
-1.054771,-0.149573,0.147183,-0.040627,-0.366966,0.851173,1.154035,b>c>a>e>d>f>g
-0.366436,0.167836,-0.022947,-0.040627,0.908275,-0.13335,0.226656,g>f>e>b>d>a>c
-0.27711,-0.228925,-0.541846,0.027626,-1.107429,-0.868777,-0.274129,b>a>c>e>f>d>g
-0.902392,0.247189,-0.125026,0.437143,0.003265,-0.014733,-0.014463,b>e>c>a>f>d>g
0.269354,-0.387629,-0.711977,-0.245385,-0.696061,-0.453617,-0.552343,d>b>e>c>g>a>f
-0.140494,0.247189,-0.056974,0.710154,-0.490377,-0.572234,-0.237034,a>c>b>g>d>f>e
0.60564,0.485245,0.002572,0.505395,1.237369,-0.192659,-0.237034,g>f>e>d>c>a>b
-0.797302,-0.387629,0.410886,1.051417,0.126675,-0.643405,-0.014463,c>d>b>a>e>f>g
0.101211,-0.07022,0.291795,0.573648,0.003265,0.115746,-0.468878,d>c>a>f>e>b>g
-1.039008,0.564597,0.938291,1.187923,1.155095,0.412289,0.616155,g>f>d>a>e>c>b
-0.744758,-0.07022,0.215236,0.36889,0.620317,-0.192659,0.514143,c>f>e>a>g>d>b
0.505805,-0.387629,-0.635418,-0.38189,-0.44924,-0.180797,-0.858378,e>b>c>d>f>a>g
0.353425,0.167836,-0.933147,-0.927912,-0.44924,-0.809469,-0.598712,b>e>f>d>a>g>c
0.621403,0.405893,-0.609899,-0.996165,-0.120146,-0.228244,-0.784187,e>f>d>b>g>a>c
0.164265,0.088484,-0.405742,-0.85966,-0.57265,0.020852,-0.246307,e>f>b>a>g>d>c
-0.960191,-0.228925,-0.048467,-0.38189,0.373496,-0.251968,-0.042284,f>e>b>a>d>c>g
0.180028,-0.149573,-0.907627,-0.654901,-0.202419,-0.584096,-1.349889,e>f>g>a>b>c>d
-0.214057,-0.387629,0.453419,0.846659,0.743727,0.364842,0.087549,f>b>e>c>a>g>d
0.484787,-0.228925,-0.465287,-0.108879,0.126675,-0.548511,-0.515247,e>a>b>f>d>g>c
0.101211,0.326541,-0.244117,0.36889,-1.025155,-0.358723,-0.22776,d>c>b>a>g>f>e
-0.439999,-0.387629,-0.26113,0.095879,-0.696061,-0.738298,-0.209212,b>c>d>a>f>e>g
-0.545088,0.167836,0.615043,0.846659,-0.079009,0.329257,0.671798,a>e>b>f>c>d>g
-0.828829,0.405893,-0.746003,-0.927912,-0.079009,-0.050318,-0.292676,e>f>b>g>a>c>d
-0.634414,-0.308277,-0.363209,-0.177132,-0.613787,-0.287553,-0.4967,e>f>d>g>a>b>c
-0.954936,-0.07022,0.240755,-0.108879,-0.079009,0.447874,0.792357,a>f>b>d>c>e>g
-0.340164,-0.466982,-0.414248,0.164132,-0.408103,-0.939948,-0.598712,e>b>f>d>a>c>g
-1.212405,-0.149573,0.300301,1.051417,-0.120146,-0.358723,0.560512,b>e>d>c>a>f>g
-0.392709,-0.387629,-0.363209,0.300637,-1.518797,-0.299414,-0.376141,c>e>a>b>d>f>g
-0.177276,0.326541,1.150955,1.324428,1.155095,0.459736,1.302416,c>b>a>e>d>f>g
-0.702722,-0.387629,-0.073987,0.232384,-0.243556,-0.263829,0.050454,c>a>b>f>e>d>g
0.080193,-0.387629,-0.193078,-0.177132,-0.613787,-0.157074,0.04118,b>f>a>e>c>g>d
-0.508307,0.564597,-0.405742,-0.654901,-0.202419,0.222502,-0.144296,a>e>g>b>d>f>c
1.152104,-1.736617,-0.652431,0.573648,-1.025155,-1.034842,-1.433353,g>d>e>b>f>a>c
1.04176,-1.736617,0.313911,2.006956,0.003265,-0.501064,-0.672902,f>a>g>d>b>e>c
0.568858,-1.657265,-0.780029,0.164132,-0.942882,-0.963671,-0.988211,e>f>b>a>d>c>g
-0.030151,-1.657265,1.006344,0.710154,0.496906,0.139469,0.606881,b>c>a>e>d>f>g
-1.228169,-1.577913,0.938291,-0.108879,1.196232,1.195163,0.736714,b>c>d>a>f>e>g
1.667041,-1.577913,-1.19685,0.641901,-1.148566,-1.011118,-1.488995,d>a>c>g>b>f>e
-0.734249,-1.498561,1.499723,0.027626,1.072822,1.574738,1.320963,a>c>b>e>d>f>g
1.157358,-1.498561,-0.907627,-0.313638,-1.066292,-0.939948,-1.386984,f>e>g>b>a>c>d
-0.072186,-1.498561,2.137713,1.187923,1.566463,0.886758,0.959285,b>f>e>c>a>g>d
1.062778,-1.419208,-1.120291,0.573648,-1.601071,-1.461864,-1.832126,d>c>g>b>f>a>e
0.285117,-1.419208,-0.75451,-0.791407,-0.037872,-0.809469,-0.403962,d>f>g>c>b>e>a
-0.240329,-1.419208,0.725628,0.914912,0.085538,0.032714,0.699619,g>d>a>c>b>e>f
0.201046,-1.339856,-0.252624,1.392681,-0.984018,-1.034842,-0.83983,e>a>c>b>f>g>d
-1.412075,-1.339856,0.912772,-0.313638,0.208949,0.566492,1.154035,b>d>f>e>g>a>c
1.078541,-1.339856,0.121664,0.573648,-0.408103,-0.275691,-0.162843,d>g>a>b>c>e>f
0.779037,-1.181152,-1.443539,-0.38189,-0.860608,-1.43814,-1.479722,f>d>a>g>c>e>b
-0.413727,-1.101799,-0.056974,0.36889,-0.737198,0.032714,-0.014463,d>c>b>g>a>f>e
1.152104,-1.101799,-0.941653,0.573648,-1.230839,-0.809469,-1.053127,c>f>a>d>b>e>g
0.511059,-0.943095,0.581017,0.778406,0.208949,0.352981,0.282299,d>g>c>a>b>f>e
0.705474,-0.943095,0.18121,-0.38189,1.113959,-0.228244,-0.042284,g>f>b>a>e>d>c
0.463769,-0.863743,-1.324448,0.095879,-0.819471,-1.378832,-0.849104,f>c>e>b>a>d>g
-0.975954,-0.863743,1.355112,0.505395,0.620317,1.254472,1.246773,c>f>a>b>e>g>d
-0.035405,-0.784391,1.295566,0.983165,1.031685,0.791864,0.23593,f>d>e>g>c>b>a
-0.33491,-0.784391,-0.431261,-0.586649,0.208949,-0.204521,-0.199939,f>g>a>e>d>b>c
-0.161512,-0.784391,1.559269,0.573648,2.430336,0.874897,0.727441,f>g>e>c>a>d>b
-1.974303,-0.784391,1.67836,-0.177132,0.990548,1.669632,2.164878,b>a>f>e>c>g>d
0.285117,-0.784391,-0.210091,-0.177132,-0.161282,-0.204521,-0.162843,f>c>d>b>e>a>g
1.945528,-0.784391,-0.907627,-0.654901,-0.408103,-1.02298,-0.988211,g>d>e>f>b>c>a
2.245033,-0.784391,-1.80932,-1.269176,-1.642207,-1.189044,-1.628102,d>f>g>a>c>b>e
-0.18253,-0.784391,-0.056974,0.232384,0.167812,-0.038456,-0.209212,f>a>b>d>e>c>g
0.248336,-0.705038,-0.091,0.36889,0.291222,-0.311276,-0.209212,e>a>b>f>c>g>d
-0.744758,-0.705038,1.627321,0.437143,1.443053,1.717079,1.506439,a>g>b>c>e>d>f
1.08905,-0.625686,-1.14581,-0.245385,-0.819471,-0.47734,-1.220056,e>d>f>g>a>c>b
0.70022,-0.625686,-0.95016,-0.85966,-1.107429,-0.975533,-0.867651,b>c>e>a>d>f>g
-1.259695,-0.625686,2.1207,0.36889,1.689874,2.179686,1.645546,b>a>c>d>e>f>g
-0.413727,-0.546334,0.283288,-0.245385,0.003265,0.222502,0.013359,b>d>e>f>c>a>g
0.248336,-0.466982,1.89953,1.187923,1.977831,1.029099,1.107666,e>b>f>c>g>d>a
-0.886628,-0.466982,1.372125,1.11967,0.826001,0.910482,1.11694,c>b>a>e>g>d>f
2.802006,-0.387629,-2.05601,-0.586649,-1.724481,-2.553143,-2.147435,e>d>g>f>a>c>b
0.889381,-0.387629,-1.128797,-0.791407,-1.025155,-0.631543,-0.830556,f>e>d>c>b>g>a
0.826327,-0.387629,-0.669444,-0.108879,-1.107429,-1.011118,-0.533795,c>d>b>a>e>g>f
0.164265,-0.387629,-0.28665,1.11967,-0.120146,-0.228244,-0.199939,c>f>d>g>e>a>b
1.251939,-0.387629,-0.388729,0.36889,0.57918,-1.343246,-0.821283,c>f>e>g>a>d>b
-0.539834,-0.308277,1.831478,1.11967,1.6076,1.978037,1.552808,g>e>b>f>a>c>d
-0.166767,-0.308277,1.074396,0.505395,0.208949,0.780003,0.588334,e>g>f>b>a>c>d
-0.187785,-0.308277,0.79368,0.641901,1.155095,0.993514,0.50487,f>e>c>d>b>g>a
-0.639669,-0.308277,0.206729,-0.518396,0.003265,0.305534,0.801631,c>a>b>e>g>f>d
0.905144,-0.308277,-0.882108,-0.245385,-0.654924,-1.117874,-1.10877,g>f>d>e>c>b>a
-2.184481,-0.228925,2.222779,1.597439,1.566463,1.705217,1.960855,c>g>a>b>e>d>f
0.35868,-0.228925,0.495951,0.095879,1.113959,0.48346,0.143192,d>f>e>g>a>b>c
-0.665941,-0.228925,1.559269,1.256176,0.208949,0.696971,1.218951,c>d>a>b>f>e>g
-0.450508,-0.228925,-0.550353,0.710154,-1.066292,-1.02298,-0.64508,b>c>e>d>a>f>g
-0.760521,-0.228925,0.036598,-0.518396,0.208949,0.092023,0.375037,g>d>f>b>e>a>c
-0.355927,-0.228925,-0.771523,-0.313638,-1.025155,-0.358723,-0.607985,d>c>b>e>a>f>g
0.143247,-0.228925,-0.371715,0.36889,-0.613787,-1.046703,-0.264855,b>a>c>f>d>e>g
1.498899,-0.228925,-0.397235,0.710154,-0.161282,-0.809469,-1.349889,f>c>g>a>d>b>e
-0.492544,-0.149573,-0.278144,-0.723154,-0.243556,0.341119,-0.264855,g>d>e>c>f>b>a
0.805309,-0.149573,-0.022947,0.027626,-0.079009,0.222502,-0.311224,d>g>c>b>a>f>e
-0.376945,-0.149573,-0.984186,-0.245385,-1.148566,-1.153459,-0.635807,a>d>b>g>e>f>c
-1.133588,-0.149573,0.734134,0.36889,-0.037872,0.756279,0.977833,b>a>g>d>f>e>c
1.567207,-0.07022,0.172703,1.051417,-0.037872,-0.002871,-0.320498,d>a>f>b>e>g>c
-1.821923,-0.07022,1.499723,-0.108879,1.196232,2.464368,1.979402,f>a>e>b>c>d>g
0.285117,-0.07022,1.01485,0.778406,1.6076,0.566492,0.347215,e>g>b>d>c>a>f
-1.60649,-0.07022,-0.439768,-1.269176,0.45577,-0.026595,0.124644,f>e>a>b>c>g>d
-1.585472,0.167836,0.546991,0.641901,0.908275,0.222502,0.810905,e>f>c>a>b>g>d
1.131086,0.167836,-0.626912,0.027626,-0.819471,-0.121489,-0.802735,e>d>g>f>c>a>b
0.978707,0.167836,-0.652431,0.164132,-1.436523,-0.939948,-0.756366,c>d>b>g>a>e>f
1.435845,0.326541,-1.307435,-0.586649,-0.901745,-1.141597,-1.220056,f>e>d>g>c>a>b
-0.960191,0.326541,1.270046,1.187923,0.908275,1.752664,1.061297,e>a>f>b>g>c>d
-0.066932,0.326541,-0.363209,0.437143,0.126675,-0.299414,-0.264855,g>c>d>a>f>b>e
0.027648,0.405893,0.538484,0.164132,0.414633,0.341119,0.467774,d>c>g>f>a>e>b
-0.066932,0.405893,-0.210091,0.778406,-0.243556,-0.251968,-0.459605,c>g>b>a>d>f>e
-3.182829,0.485245,1.363618,-1.678693,1.319643,2.250857,2.739853,a>e>b>d>f>g>c
0.642421,0.485245,-1.009706,-0.108879,-1.313113,-0.951809,-1.062401,e>g>a>c>d>b>f
1.3833,0.485245,-0.831068,-0.040627,-0.44924,-0.892501,-1.025306,g>c>d>a>b>f>e
-0.644923,0.564597,0.691602,0.437143,0.57918,0.708832,0.690345,e>g>f>b>a>c>d
0.474278,0.64395,-0.831068,-0.245385,-0.161282,-0.82133,-0.357593,d>a>c>b>g>e>f
0.789546,0.723302,-0.873601,0.095879,0.208949,-0.216382,-0.070105,g>f>d>c>e>b>a
-0.823575,0.723302,1.737906,0.573648,1.854421,2.262719,1.65482,d>e>c>f>g>b>a
0.894635,0.723302,-0.584379,-0.723154,-0.243556,-0.785745,-0.459605,c>d>b>g>a>f>e
1.672296,0.802654,-1.247889,-0.791407,-1.148566,-0.963671,-0.904747,d>f>e>b>a>g>c
0.968198,0.802654,0.028092,-0.38189,1.278506,0.720694,0.254477,f>g>e>a>b>c>d
0.773782,0.802654,-1.783801,-0.927912,-1.889028,-1.426279,-1.331341,b>a>d>e>c>g>f
0.495296,0.802654,-0.320676,-0.518396,-0.32583,0.103884,-0.135022,g>e>f>c>d>a>b
-0.72374,0.802654,0.666082,1.11967,0.126675,0.530906,0.38431,c>a>b>f>e>g>d
0.479532,0.882006,-0.150545,-0.177132,0.044402,0.376704,-0.292676,e>f>g>b>a>d>c
0.237827,0.882006,-0.380222,-0.450143,-0.243556,-0.263829,0.04118,g>f>c>d>e>a>b
0.99447,0.961359,-1.060745,-1.200923,-1.148566,-0.145212,-0.57089,e>f>d>b>a>g>c
0.337662,0.961359,0.113157,0.437143,0.57918,0.305534,0.38431,g>f>a>c>b>e>d
0.421733,1.040711,-0.116519,0.36889,0.003265,-0.074042,-0.413236,f>d>c>g>a>b>e
-0.902392,1.040711,-0.584379,-0.791407,-1.189702,-0.702713,0.217382,a>b>g>c>d>f>e
-0.802557,1.199415,-0.720483,-0.723154,0.990548,-0.429893,0.069001,g>f>e>a>b>c>d
0.038157,1.35812,-0.346196,-0.723154,0.126675,0.459736,0.282299,g>d>c>e>a>b>f
-0.692213,1.35812,0.427899,0.573648,1.072822,0.376704,0.523417,g>c>a>e>b>d>f
-0.965445,1.437472,1.368722,-0.177132,0.908275,1.989899,1.970129,a>c>e>b>f>g>d
0.784291,1.516824,-0.805549,-0.177132,-0.037872,-0.595958,-0.904747,b>c>f>g>d>a>e
-1.259695,1.596176,0.368353,-1.200923,1.155095,0.661385,0.736714,e>g>f>d>a>b>c
0.227318,1.596176,-1.749775,-1.200923,-1.35425,-0.928086,-1.192234,e>b>a>d>g>f>c
-1.832432,1.596176,1.550762,-0.518396,0.332359,2.227133,2.359628,a>c>g>e>f>b>d
-1.322749,1.675529,1.882517,0.505395,1.401916,2.238995,1.524987,c>g>a>e>f>d>b
-1.574963,1.754881,1.661347,0.710154,1.360779,1.776388,1.933033,c>a>g>d>b>e>f
-1.165115,1.754881,0.700108,-0.450143,1.113959,2.072931,1.256047,d>f>g>a>c>e>b
0.448006,1.834233,-0.797042,-0.245385,-0.696061,-0.40617,-0.76564,g>d>c>f>a>b>e
-1.301731,1.913585,1.244527,0.095879,1.155095,1.527292,1.395154,c>f>e>a>b>g>d
0.94718,1.992938,-1.520098,-0.85966,-1.271976,-1.378832,-0.830556,g>d>f>a>c>b>e
-1.680053,2.151642,0.751148,-0.108879,1.196232,0.910482,1.154035,g>e>c>a>d>b>f
-1.196642,2.151642,0.266275,-1.132671,0.373496,1.218887,1.756831,a>b>g>e>c>f>d
-0.823575,2.151642,0.402379,0.095879,0.373496,0.886758,0.810905,g>c>f>d>a>e>b
-1.496146,2.310347,0.972318,-0.040627,1.155095,1.373089,1.478618,g>c>a>d>f>e>b
